Symbol,ShortName,Sector,Industry,MarketCap,AveragePrice,PE_Ratio,DividendYield,Beta,Revenue,ProfitMargins,EBITDA,ForwardEps,TrailingEps,SharesOutstanding
HEIDELBERG.BO,HEIDELBERGCEMENT INDIA LTD.,Basic Materials,Building Materials,42535732546.53571,187.70209144291124,inf,0.0349,0.405,23712700416,0.06518,0,11.31,6.84,226612992
TATAINVEST.BO,TATA INVESTMENT CORPORATION LT,Financial Services,Capital Markets,88751031270.6098,1754.1358835822657,inf,0.0072000003,0.224,3593904128,0.9593,0,0.0,68.29,50595300
NCC.NS,NCC LTD,Industrials,Engineering & Construction,53060542886.97879,84.51190324277168,inf,0.0089,1.487,193091092480,0.0343,0,15.67,10.55,627846976
GLOBUSSPR.NS,GLOBUS SPIRITS LTD,Consumer Defensive,Beverages - Wineries & Distilleries,18805964077.867325,651.3767773956422,inf,0.0076,0.652,23657015296,0.05582,0,102.0,45.71,28871100
LAXMIMACH.BO,LAKSHMI MACHINE WORKS LTD.,Industrials,Specialty Industrial Machinery,87445619051.11554,8185.492750268233,inf,0.006,0.391,50288123904,0.0799,0,252.75,375.69,10683000
NEWGEN.NS,NEWGEN SOFTWARE,Technology,Software - Application,35103141406.75009,251.1331415855383,inf,0.0029,1.059,11736107008,0.19217,0,22.23,14.12,139779008
RCF.NS,RASHTRIYA CHEM & F,Basic Materials,Agricultural Inputs,42845699081.358055,77.66291650599261,inf,0.024300002,0.808,177856004096,0.01629,0,7.4,5.26,551688000
ZENSARTECH.BO,ZENSAR TECHNOLOGIES LTD.,Technology,Information Technology Services,68741044462.75972,303.2835859750447,inf,0.009,0.903,49018998784,0.13566,0,17.52,29.13,226656000
RAYMOND.NS,RAYMOND LTD,Consumer Cyclical,Textile Manufacturing,58682118492.47516,881.7563340887668,inf,0.0015,0.652,85611986944,0.18722999,0,131.98,240.88,66551400
FINCABLES.BO,FINOLEX CABLES LTD.,Industrials,Electrical Equipment & Parts,79925494346.93292,522.5971803539678,inf,0.0068,0.75,48376901632,0.13242,0,31.23,41.89,152939008
ENGINERSIN.BO,ENGINEERS INDIA LTD.,Industrials,Engineering & Construction,51639803967.80079,91.87890840517848,inf,0.0126,0.788,33558192128,0.15493,0,8.04,9.25,562041984
